Formula,LTAMKey,AtomicNumber,Element,Electrons,SlotNumber,SlotOrientation,AlphaType,SlotSpin,AtomicSymbol,AtomCount,AtomOrder,AtomLabel,AtomCountNumber
KSnSe2,B13Z2L,50,tin,B,13,Z,2,L,Sn,1,2,tin-1,1
HfIN,T11Z2R,53,iodine,T,11,Z,2,R,I,1,2,iodine-1,1
AlCuO2,T14Y1L,13,aluminium,T,14,Y,1,L,Al,1,1,aluminium-1,1
ScCoGe,B10Z1R,21,scandium,B,10,Z,1,R,Sc,1,1,scandium-1,1
CaMnSi,A1Z2A,20,calcium,A,1,Z,2,A,Ca,1,1,calcium-1,1
Cs2ZrF6,V3Y6V,55,caesium,V,3,Y,6,V,Cs,2,1,caesium-1,1
Cs2ZrF6,V3Y6V,55,caesium,V,3,Y,6,V,Cs,2,1,caesium-2,2
Tl3SbS4,V3Y6V,81,thallium,V,3,Y,6,V,Tl,3,1,thallium-1,1
Tl3SbS4,V3Y6V,81,thallium,V,3,Y,6,V,Tl,3,1,thallium-2,2
Tl3SbS4,V3Y6V,81,thallium,V,3,Y,6,V,Tl,3,1,thallium-3,3
AlCuPt2,B7Y1R,13,aluminium,B,7,Y,1,R,Al,1,1,aluminium-1,1
BaHI,B17Z1R,53,iodine,B,17,Z,1,R,I,1,3,iodine-1,1
HgNO2,V2Y6V,80,mercury,V,2,Y,6,V,Hg,1,1,mercury-1,1
HfIN,B10Z3R,72,hafnium,B,10,Z,3,R,Hf,1,1,hafnium-1,1
KCdF3,T2Y1L,9,fluorine,T,2,Y,1,L,F,3,3,fluorine-1,1
KCdF3,T2Y1L,9,fluorine,T,2,Y,1,L,F,3,3,fluorine-2,2
KCdF3,T2Y1L,9,fluorine,T,2,Y,1,L,F,3,3,fluorine-3,3
SrClF,B8X4R,38,strontium,B,8,X,4,R,Sr,1,1,strontium-1,1
RbPO3,T9X1L,15,phosphorus,T,9,X,2,L,P,1,2,phosphorus-1,1
InGaSe2,B15Y2R,31,gallium,B,15,Y,2,R,Ga,1,2,gallium-1,1
HgTeO3,T14Y2L,52,tellurium,T,14,Y,2,L,Te,1,2,tellurium-1,1
BaBiO2I,P1Z6P,8,oxygen,P,1,Z,2,P,O,2,3,oxygen-1,1
BaBiO2I,P1Z6P,8,oxygen,P,1,Z,2,P,O,2,3,oxygen-2,2
ClFSn,B13Z2L,50,tin,B,13,Z,2,L,Sn,1,3,tin-1,1
Co2NiSe4,B17Z1R,34,selenium,B,17,Z,1,R,Se,4,3,selenium-1,1
Co2NiSe4,B17Z1R,34,selenium,B,17,Z,1,R,Se,4,3,selenium-2,2
Co2NiSe4,B17Z1R,34,selenium,B,17,Z,1,R,Se,4,3,selenium-3,3
Co2NiSe4,B17Z1R,34,selenium,B,17,Z,1,R,Se,4,3,selenium-4,4
Sc2MnS4,T9X2L,16,sulfur,T,9,X,2,L,S,4,3,sulfur-1,1
Sc2MnS4,T9X2L,16,sulfur,T,9,X,2,L,S,4,3,sulfur-2,2
Sc2MnS4,T9X2L,16,sulfur,T,9,X,2,L,S,4,3,sulfur-3,3
Sc2MnS4,T9X2L,16,sulfur,T,9,X,2,L,S,4,3,sulfur-4,4
ScCoGe,V2Y2V,32,germanium,V,2,Y,2,V,Ge,1,3,germanium-1,1
HgSO4,B7Y2R,16,sulfur,B,7,Y,2,R,S,1,2,sulfur-1,1
YTlS2,B7Y4R,39,yttrium,B,7,Y,4,R,Y,1,1,yttrium-1,1
SrCaSn,T12Z2L,50,tin,T,12,Z,2,L,Sn,1,3,tin-1,1
ScNiP,T12Z1L,28,nickel,T,12,Z,2,L,Ni,1,2,nickel-1,1
SrGaSn,T6Y4L,38,strontium,T,6,Y,4,L,Sr,1,1,strontium-1,1
Na2CuP,C5Z2C,11,sodium,C,5,Z,2,C,Na,2,1,sodium-1,1
Na2CuP,C5Z2C,11,sodium,C,5,Z,2,C,Na,2,1,sodium-2,2
YSiPt,T11Z3R,78,platinum,T,11,Z,3,R,Pt,1,3,platinum-1,1
CsAlTe3,V3Y2V,13,aluminium,V,3,Y,2,V,Al,1,2,aluminium-1,1
BaBiO2I,T2Y1L,8,oxygen,T,2,Y,1,L,O,2,3,oxygen-1,1
BaBiO2I,T2Y1L,8,oxygen,T,2,Y,1,L,O,2,3,oxygen-2,2
YSnIr,E5Z4E,39,yttrium,E,5,Z,4,E,Y,1,1,yttrium-1,1
BrClSn,T11Z2R,35,bromine,T,11,Z,2,R,Br,1,1,bromine-1,1
TiAsRu,A2Y4A,44,ruthenium,A,2,Y,4,A,Ru,1,3,ruthenium-1,1
O6PbTa2,T12Z3L,73,tantalum,T,12,Z,3,L,Ta,2,3,tantalum-1,1
O6PbTa2,T12Z3L,73,tantalum,T,12,Z,3,L,Ta,2,3,tantalum-2,2
Cd3CaCu4O8,T12Z2L,29,copper,T,12,Z,2,L,Cu,4,3,copper-1,1
Cd3CaCu4O8,T12Z2L,29,copper,T,12,Z,2,L,Cu,4,3,copper-2,2
Cd3CaCu4O8,T12Z2L,29,copper,T,12,Z,2,L,Cu,4,3,copper-3,3
Cd3CaCu4O8,T12Z2L,29,copper,T,12,Z,2,L,Cu,4,3,copper-4,4
ScAlPd2,P1Z2P,13,aluminium,P,1,Z,2,P,Al,1,2,aluminium-1,1
Sr2SnO4,V3Y4V,50,tin,V,3,Y,4,V,Sn,1,2,tin-1,1
SrAsPt,A2Y2A,33,arsenic,A,2,Y,2,A,As,1,2,arsenic-1,1
Re2ZnO8,B3Y1R,8,oxygen,B,3,Y,1,R,O,8,3,oxygen-1,1
Re2ZnO8,B3Y1R,8,oxygen,B,3,Y,1,R,O,8,3,oxygen-2,2
Re2ZnO8,B3Y1R,8,oxygen,B,3,Y,1,R,O,8,3,oxygen-3,3
Re2ZnO8,B3Y1R,8,oxygen,B,3,Y,1,R,O,8,3,oxygen-4,4
Re2ZnO8,B3Y1R,8,oxygen,B,3,Y,1,R,O,8,3,oxygen-5,5
Re2ZnO8,B3Y1R,8,oxygen,B,3,Y,1,R,O,8,3,oxygen-6,6
Re2ZnO8,B3Y1R,8,oxygen,B,3,Y,1,R,O,8,3,oxygen-7,7
Re2ZnO8,B3Y1R,8,oxygen,B,3,Y,1,R,O,8,3,oxygen-8,8
SrCuSb,T14Y1L,29,copper,T,14,Y,1,L,Cu,1,2,copper-1,1
HfSiCu,B13Z2L,29,copper,B,13,Z,2,L,Cu,1,3,copper-1,1
AgIO4,T14Y2L,53,iodine,T,14,Y,2,L,I,1,2,iodine-1,1
NbSiRh,T11Z1R,41,niobium,T,11,Z,1,R,Nb,1,1,niobium-1,1
Zr2SbP,T6Y4L,40,zirconium,T,6,Y,4,L,Zr,2,1,zirconium-1,1
Zr2SbP,T6Y4L,40,zirconium,T,6,Y,4,L,Zr,2,1,zirconium-2,2
Y2InNi2,T11Z2R,28,nickel,T,11,Z,2,R,Ni,2,3,nickel-1,1
Y2InNi2,T11Z2R,28,nickel,T,11,Z,2,R,Ni,2,3,nickel-2,2
Ba2MnTe3,B13Z1L,25,manganese,B,13,Z,1,L,Mn,1,2,manganese-1,1
H6CuGeSe,T11Z2R,29,copper,T,11,Z,2,R,Cu,1,2,copper-1,1
Rb2SiS3,A3Y2A,14,silicon,A,3,Y,2,A,Si,1,2,silicon-1,1
Mn2ZnAs2,T16Z1L,33,arsenic,T,16,Z,1,L,As,2,3,arsenic-1,1
Mn2ZnAs2,T16Z1L,33,arsenic,T,16,Z,1,L,As,2,3,arsenic-2,2
Zr2NiP2,A2Y2A,15,phosphorus,A,2,Y,2,A,P,2,3,phosphorus-1,1
Zr2NiP2,A2Y2A,15,phosphorus,A,2,Y,2,A,P,2,3,phosphorus-2,2
ScSiAu,T12Z4L,79,gold,T,12,Z,4,L,Au,1,3,gold-1,1
CaMgSn,B10Z2R,50,tin,B,10,Z,2,R,Sn,1,3,tin-1,1
NaFeAs,T12Z2L,33,arsenic,T,12,Z,2,L,As,1,3,arsenic-1,1
RbGeBr3,A3Y4A,37,rubidium,A,3,Y,4,A,Rb,1,1,rubidium-1,1
W4PBr11,T11Z3R,74,tungsten,T,11,Z,3,R,W,4,1,tungsten-1,1
